"municipality","votes","parties","file","district"
"中央区",1856,"社会民主党","000785194.xls","北海道"
"中央区",8721,"公明党","000785194.xls","北海道"
"中央区",30231.669,"立憲民主党","000785194.xls","北海道"
"中央区",4746.33,"国民民主党","000785194.xls","北海道"
"中央区",37863,"自由民主党","000785194.xls","北海道"
"中央区",9412,"日本共産党","000785194.xls","北海道"
"中央区",15185,"日本維新の会","000785194.xls","北海道"
"中央区",5812,"れいわ新選組","000785194.xls","北海道"
"中央区",2419,"支持政党なし","000785194.xls","北海道"
"中央区",2305,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"中央区",118550.999,"得票数計","000785194.xls","北海道"
"北区（１区）",57,"社会民主党","000785194.xls","北海道"
"北区（１区）",177,"公明党","000785194.xls","北海道"
"北区（１区）",894.669,"立憲民主党","000785194.xls","北海道"
"北区（１区）",219.33,"国民民主党","000785194.xls","北海道"
"北区（１区）",1142,"自由民主党","000785194.xls","北海道"
"北区（１区）",323,"日本共産党","000785194.xls","北海道"
"北区（１区）",445,"日本維新の会","000785194.xls","北海道"
"北区（１区）",126,"れいわ新選組","000785194.xls","北海道"
"北区（１区）",63,"支持政党なし","000785194.xls","北海道"
"北区（１区）",58,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"北区（１区）",3504.999,"得票数計","000785194.xls","北海道"
"北区（２区）",2166,"社会民主党","000785194.xls","北海道"
"北区（２区）",13967,"公明党","000785194.xls","北海道"
"北区（２区）",31410.895,"立憲民主党","000785194.xls","北海道"
"北区（２区）",4467.104,"国民民主党","000785194.xls","北海道"
"北区（２区）",35278,"自由民主党","000785194.xls","北海道"
"北区（２区）",11807,"日本共産党","000785194.xls","北海道"
"北区（２区）",15640,"日本維新の会","000785194.xls","北海道"
"北区（２区）",5450,"れいわ新選組","000785194.xls","北海道"
"北区（２区）",2417,"支持政党なし","000785194.xls","北海道"
"北区（２区）",2416,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"北区（２区）",125018.999,"得票数計","000785194.xls","北海道"
"東区",1774,"社会民主党","000785194.xls","北海道"
"東区",13142,"公明党","000785194.xls","北海道"
"東区",26428.915,"立憲民主党","000785194.xls","北海道"
"東区",4175.084,"国民民主党","000785194.xls","北海道"
"東区",32121,"自由民主党","000785194.xls","北海道"
"東区",12400,"日本共産党","000785194.xls","北海道"
"東区",13662,"日本維新の会","000785194.xls","北海道"
"東区",4872,"れいわ新選組","000785194.xls","北海道"
"東区",2245,"支持政党なし","000785194.xls","北海道"
"東区",2341,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"東区",113160.999,"得票数計","000785194.xls","北海道"
"白石区",1411,"社会民主党","000785194.xls","北海道"
"白石区",12179,"公明党","000785194.xls","北海道"
"白石区",23161.241,"立憲民主党","000785194.xls","北海道"
"白石区",3818.758,"国民民主党","000785194.xls","北海道"
"白石区",27825,"自由民主党","000785194.xls","北海道"
"白石区",8583,"日本共産党","000785194.xls","北海道"
"白石区",10564,"日本維新の会","000785194.xls","北海道"
"白石区",4511,"れいわ新選組","000785194.xls","北海道"
"白石区",1927,"支持政党なし","000785194.xls","北海道"
"白石区",1819,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"白石区",95798.999,"得票数計","000785194.xls","北海道"
"厚別区",1028,"社会民主党","000785194.xls","北海道"
"厚別区",7120,"公明党","000785194.xls","北海道"
"厚別区",20465.624,"立憲民主党","000785194.xls","北海道"
"厚別区",2265.375,"国民民主党","000785194.xls","北海道"
"厚別区",20102,"自由民主党","000785194.xls","北海道"
"厚別区",6404,"日本共産党","000785194.xls","北海道"
"厚別区",6021,"日本維新の会","000785194.xls","北海道"
"厚別区",2489,"れいわ新選組","000785194.xls","北海道"
"厚別区",1240,"支持政党なし","000785194.xls","北海道"
"厚別区",1176,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"厚別区",68310.999,"得票数計","000785194.xls","北海道"
"豊平区",1752,"社会民主党","000785194.xls","北海道"
"豊平区",11009,"公明党","000785194.xls","北海道"
"豊平区",27977.246,"立憲民主党","000785194.xls","北海道"
"豊平区",4383.753,"国民民主党","000785194.xls","北海道"
"豊平区",34742,"自由民主党","000785194.xls","北海道"
"豊平区",8118,"日本共産党","000785194.xls","北海道"
"豊平区",12435,"日本維新の会","000785194.xls","北海道"
"豊平区",4951,"れいわ新選組","000785194.xls","北海道"
"豊平区",2178,"支持政党なし","000785194.xls","北海道"
"豊平区",1987,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"豊平区",109532.999,"得票数計","000785194.xls","北海道"
"清田区",797,"社会民主党","000785194.xls","北海道"
"清田区",6993,"公明党","000785194.xls","北海道"
"清田区",15577.48,"立憲民主党","000785194.xls","北海道"
"清田区",1759.519,"国民民主党","000785194.xls","北海道"
"清田区",17271,"自由民主党","000785194.xls","北海道"
"清田区",4368,"日本共産党","000785194.xls","北海道"
"清田区",6221,"日本維新の会","000785194.xls","北海道"
"清田区",2165,"れいわ新選組","000785194.xls","北海道"
"清田区",978,"支持政党なし","000785194.xls","北海道"
"清田区",1032,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"清田区",57161.999,"得票数計","000785194.xls","北海道"
"南区",1136,"社会民主党","000785194.xls","北海道"
"南区",7173,"公明党","000785194.xls","北海道"
"南区",19067.907,"立憲民主党","000785194.xls","北海道"
"南区",2052.092,"国民民主党","000785194.xls","北海道"
"南区",23612,"自由民主党","000785194.xls","北海道"
"南区",5793,"日本共産党","000785194.xls","北海道"
"南区",7188,"日本維新の会","000785194.xls","北海道"
"南区",2881,"れいわ新選組","000785194.xls","北海道"
"南区",1208,"支持政党なし","000785194.xls","北海道"
"南区",1195,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"南区",71305.999,"得票数計","000785194.xls","北海道"
"西区（１区）",1119,"社会民主党","000785194.xls","北海道"
"西区（１区）",6217,"公明党","000785194.xls","北海道"
"西区（１区）",19204.411,"立憲民主党","000785194.xls","北海道"
"西区（１区）",2595.588,"国民民主党","000785194.xls","北海道"
"西区（１区）",20955,"自由民主党","000785194.xls","北海道"
"西区（１区）",5517,"日本共産党","000785194.xls","北海道"
"西区（１区）",7689,"日本維新の会","000785194.xls","北海道"
"西区（１区）",3057,"れいわ新選組","000785194.xls","北海道"
"西区（１区）",1375,"支持政党なし","000785194.xls","北海道"
"西区（１区）",1199,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"西区（１区）",68927.999,"得票数計","000785194.xls","北海道"
"西区（４区）",648,"社会民主党","000785194.xls","北海道"
"西区（４区）",4079,"公明党","000785194.xls","北海道"
"西区（４区）",11348.03,"立憲民主党","000785194.xls","北海道"
"西区（４区）",1643.969,"国民民主党","000785194.xls","北海道"
"西区（４区）",12638,"自由民主党","000785194.xls","北海道"
"西区（４区）",3011,"日本共産党","000785194.xls","北海道"
"西区（４区）",3801,"日本維新の会","000785194.xls","北海道"
"西区（４区）",1755,"れいわ新選組","000785194.xls","北海道"
"西区（４区）",973,"支持政党なし","000785194.xls","北海道"
"西区（４区）",731,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"西区（４区）",40627.999,"得票数計","000785194.xls","北海道"
"手稲区",1234,"社会民主党","000785194.xls","北海道"
"手稲区",8473,"公明党","000785194.xls","北海道"
"手稲区",21155.025,"立憲民主党","000785194.xls","北海道"
"手稲区",2337.974,"国民民主党","000785194.xls","北海道"
"手稲区",20684,"自由民主党","000785194.xls","北海道"
"手稲区",5842,"日本共産党","000785194.xls","北海道"
"手稲区",6376,"日本維新の会","000785194.xls","北海道"
"手稲区",3012,"れいわ新選組","000785194.xls","北海道"
"手稲区",1425,"支持政党なし","000785194.xls","北海道"
"手稲区",1123,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"手稲区",71661.99900000001,"得票数計","000785194.xls","北海道"
"函館市",1951,"社会民主党","000785194.xls","北海道"
"函館市",13725,"公明党","000785194.xls","北海道"
"函館市",36812.326,"立憲民主党","000785194.xls","北海道"
"函館市",3012.673,"国民民主党","000785194.xls","北海道"
"函館市",42115,"自由民主党","000785194.xls","北海道"
"函館市",9893,"日本共産党","000785194.xls","北海道"
"函館市",7362,"日本維新の会","000785194.xls","北海道"
"函館市",4289,"れいわ新選組","000785194.xls","北海道"
"函館市",2152,"支持政党なし","000785194.xls","北海道"
"函館市",1787,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"函館市",123098.999,"得票数計","000785194.xls","北海道"
"小樽市",810,"社会民主党","000785194.xls","北海道"
"小樽市",7750,"公明党","000785194.xls","北海道"
"小樽市",15330.044,"立憲民主党","000785194.xls","北海道"
"小樽市",1198.955,"国民民主党","000785194.xls","北海道"
"小樽市",16206,"自由民主党","000785194.xls","北海道"
"小樽市",7353,"日本共産党","000785194.xls","北海道"
"小樽市",3788,"日本維新の会","000785194.xls","北海道"
"小樽市",2073,"れいわ新選組","000785194.xls","北海道"
"小樽市",953,"支持政党なし","000785194.xls","北海道"
"小樽市",642,"ＮＨＫと裁判してる党弁護士法７２条違反で","000785194.xls","北海道"
"小樽市",56103.999,"得票数計","000785194.xls","北海道"
