"municipality","votes","candidate","parties","file","district"
"札幌市中央区",17432,"小林　悟","日本維新の会","000785193.xls","北海道第１区"
"札幌市中央区",52201,"道下　大樹","立憲民主党","000785193.xls","北海道第１区"
"札幌市中央区",48029,"船橋　利実","自由民主党","000785193.xls","北海道第１区"
"札幌市北区(1区)",563,"小林　悟","日本維新の会","000785193.xls","北海道第１区"
"札幌市北区(1区)",1593,"道下　大樹","立憲民主党","000785193.xls","北海道第１区"
"札幌市北区(1区)",1324,"船橋　利実","自由民主党","000785193.xls","北海道第１区"
"札幌市南区",8645,"小林　悟","日本維新の会","000785193.xls","北海道第１区"
"札幌市南区",31701,"道下　大樹","立憲民主党","000785193.xls","北海道第１区"
"札幌市南区",30796,"船橋　利実","自由民主党","000785193.xls","北海道第１区"
"札幌市西区（1区）",9012,"小林　悟","日本維新の会","000785193.xls","北海道第１区"
"札幌市西区（1区）",32791,"道下　大樹","立憲民主党","000785193.xls","北海道第１区"
"札幌市西区（1区）",26836,"船橋　利実","自由民主党","000785193.xls","北海道第１区"
"北海道第１区 合計",35652,"小林　悟","日本維新の会","000785193.xls","北海道第１区"
"北海道第１区 合計",118286,"道下　大樹","立憲民主党","000785193.xls","北海道第１区"
"北海道第１区 合計",106985,"船橋　利実","自由民主党","000785193.xls","北海道第１区"
"札幌市北区第２",46022,"髙橋　ゆうすけ","自由民主党","000785193.xls","北海道第２区"
"札幌市北区第２",56480,"松木　けんこう","立憲民主党","000785193.xls","北海道第２区"
"札幌市北区第２",21649,"山崎　泉","日本維新の会","000785193.xls","北海道第２区"
"札幌市東区",43723,"髙橋　ゆうすけ","自由民主党","000785193.xls","北海道第２区"
"札幌市東区",49327,"松木　けんこう","立憲民主党","000785193.xls","北海道第２区"
"札幌市東区",19427,"山崎　泉","日本維新の会","000785193.xls","北海道第２区"
"北海道第２区 合計",89745,"髙橋　ゆうすけ","自由民主党","000785193.xls","北海道第２区"
"北海道第２区 合計",105807,"松木　けんこう","立憲民主党","000785193.xls","北海道第２区"
"北海道第２区 合計",41076,"山崎　泉","日本維新の会","000785193.xls","北海道第２区"
"札幌市白石区",42105,"高木　ひろひさ","自由民主党","000785193.xls","北海道第３区"
"札幌市白石区",40864,"荒井　ゆたか","立憲民主党","000785193.xls","北海道第３区"
"札幌市白石区",12505,"こわだ　やすふみ","日本維新の会","000785193.xls","北海道第３区"
"札幌市豊平区",49403,"高木　ひろひさ","自由民主党","000785193.xls","北海道第３区"
"札幌市豊平区",46395,"荒井　ゆたか","立憲民主党","000785193.xls","北海道第３区"
"札幌市豊平区",13419,"こわだ　やすふみ","日本維新の会","000785193.xls","北海道第３区"
"札幌市清田区",25409,"高木　ひろひさ","自由民主党","000785193.xls","北海道第３区"
"札幌市清田区",25276,"荒井　ゆたか","立憲民主党","000785193.xls","北海道第３区"
"札幌市清田区",6416,"こわだ　やすふみ","日本維新の会","000785193.xls","北海道第３区"
"北海道第３区 合計",116917,"高木　ひろひさ","自由民主党","000785193.xls","北海道第３区"
"北海道第３区 合計",112535,"荒井　ゆたか","立憲民主党","000785193.xls","北海道第３区"
"北海道第３区 合計",32340,"こわだ　やすふみ","日本維新の会","000785193.xls","北海道第３区"
"札幌市西区第２",21091,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"札幌市西区第２",19286,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"札幌市手稲区",38359,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"札幌市手稲区",33020,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"小樽市",29890,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"小樽市",26631,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"島牧村",291,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"島牧村",520,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"寿都町",707,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"寿都町",1130,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"黒松内町",775,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"黒松内町",886,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"蘭越町",1283,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"蘭越町",1575,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"ニセコ町",1361,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"ニセコ町",1378,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"真狩村",491,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"真狩村",792,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"留寿都村",367,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"留寿都村",646,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"喜茂別町",568,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"喜茂別町",655,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"京極町",612,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"京極町",1187,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"倶知安町",3183,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"倶知安町",4589,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"共和町",1218,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"共和町",2235,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"岩内町",2315,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"岩内町",4106,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"泊村",276,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"泊村",727,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"神恵内村",165,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"神恵内村",397,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"積丹町",408,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"積丹町",715,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"古平町",468,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
"古平町",1145,"中村　ひろゆき","自由民主党","000785193.xls","北海道第４区"
"仁木町",786,"おおつき　くれは","立憲民主党","000785193.xls","北海道第４区"
